Id,Category
48210.jpg,1
71967.jpg,0
65491.jpg,1
48727.jpg,1
71671.jpg,1
60146.jpg,1
87607.jpg,1
94728.jpg,0
41820.jpg,1
91073.jpg,0
77253.jpg,1
96230.jpg,1
66598.jpg,1
31820.jpg,1
95022.jpg,0
21469.jpg,0
87501.jpg,0
87427.jpg,1
13420.jpg,1
94709.jpg,1
55211.jpg,1
80834.jpg,1
98668.jpg,1
73915.jpg,1
11667.jpg,0
77640.jpg,0
65673.jpg,1
75182.jpg,1
49843.jpg,1
11254.jpg,1
96482.jpg,0
39911.jpg,0
41056.jpg,1
59453.jpg,1
26723.jpg,0
54143.jpg,0
32262.jpg,0
80357.jpg,0
14131.jpg,0
66761.jpg,0
29523.jpg,1
19177.jpg,0
29904.jpg,0
94271.jpg,1
55798.jpg,1
33478.jpg,1
90464.jpg,0
58369.jpg,1
61928.jpg,1
67971.jpg,1
41953.jpg,0
24509.jpg,1
94112.jpg,1
74904.jpg,0
19696.jpg,1
58576.jpg,1
56879.jpg,0
64948.jpg,0
36169.jpg,1
14312.jpg,1
31570.jpg,1
26561.jpg,1
41992.jpg,1
94422.jpg,1
57728.jpg,1
84866.jpg,1
17432.jpg,0
74741.jpg,1
27990.jpg,0
99108.jpg,0
99763.jpg,1
18149.jpg,0
47312.jpg,0
24683.jpg,0
61998.jpg,0
38062.jpg,0
94084.jpg,1
76461.jpg,0
67498.jpg,1
19093.jpg,0
95482.jpg,1
30505.jpg,0
76203.jpg,1
44365.jpg,1
60531.jpg,1
18066.jpg,1
53215.jpg,1
27599.jpg,1
89977.jpg,1
99732.jpg,1
38586.jpg,1
39146.jpg,1
71749.jpg,1
52020.jpg,0
98826.jpg,1
61553.jpg,0
97679.jpg,0
76553.jpg,0
50430.jpg,1
25342.jpg,0
78738.jpg,0
30311.jpg,0
67696.jpg,0
16415.jpg,0
52803.jpg,0
65144.jpg,0
93145.jpg,1
23185.jpg,1
38516.jpg,1
51329.jpg,1
36904.jpg,0
33646.jpg,1
86858.jpg,1
69737.jpg,1
97016.jpg,1
77812.jpg,0
47085.jpg,1
74261.jpg,1
76611.jpg,1
53104.jpg,1
62975.jpg,1
88330.jpg,0
73985.jpg,1
57628.jpg,1
26139.jpg,1
78365.jpg,1
45349.jpg,0
24905.jpg,1
94102.jpg,0
84896.jpg,1
97858.jpg,1
55042.jpg,1
70995.jpg,0
84105.jpg,0
99437.jpg,0
74982.jpg,1
91180.jpg,0
95243.jpg,1
64231.jpg,0
50537.jpg,1
59462.jpg,0
86440.jpg,1
49370.jpg,1
14849.jpg,0
37334.jpg,0
46416.jpg,0
68153.jpg,0
52919.jpg,1
11467.jpg,1
38221.jpg,1
32983.jpg,1
38281.jpg,0
83146.jpg,1
82268.jpg,1
55219.jpg,1
15168.jpg,1
69140.jpg,0
61802.jpg,1
59814.jpg,0
31932.jpg,0
88396.jpg,1
46791.jpg,1
44638.jpg,1
56164.jpg,1
19640.jpg,1
80089.jpg,0
76009.jpg,1
76692.jpg,1
44858.jpg,1
85592.jpg,0
87574.jpg,0
98024.jpg,1
70961.jpg,0
95916.jpg,0
17617.jpg,1
28982.jpg,1
25313.jpg,0
85386.jpg,1
86743.jpg,0
60973.jpg,1
61004.jpg,1
28050.jpg,0
32047.jpg,1
88452.jpg,1
89766.jpg,0
92763.jpg,1
57399.jpg,0
49733.jpg,1
67206.jpg,1
98515.jpg,0
57343.jpg,0
18001.jpg,0
88845.jpg,0
41218.jpg,1
75812.jpg,1
73520.jpg,1
65562.jpg,1
78248.jpg,0
94421.jpg,0
26893.jpg,1
61362.jpg,0
81644.jpg,1
63362.jpg,1
91808.jpg,0
78693.jpg,1
60293.jpg,0
